,nombre,company,cargo,más info,speaker_bio,url_linkedin,url_TW
51,Guillermo Falco,investory.io,CEO,https://www.des-madrid.com/agenda-2021-speakers/guillermo-falco/,"Guillermo focuses on data, analytics, technology and consulting to the financial sector. Most recently as investor and advisor to startups and early-stage investors. Earlier, he led Spain and South Europe for large global IT Service providers (Infosys, NIIT). Before that, he was in business strategy consulting (Booz, Infosys), in Europe, the UK, Latam, and the Middle East. He holds an MBA from INSEAD, and recently attended an Executive Program on Artificial Intelligence at Stanford University.",https://www.linkedin.com/in/guillermofalco/,TW no disponible
52,Guillermo Fernández,Iberdrola,Digital & Social Media Team,https://www.des-madrid.com/agenda-2021-speakers/guillermo-fernandez/,"Guillermo has been working in the Iberdrola’s social media team for more than five years. A great part of his job has to do with managing the presence of the company in emerging platforms. Since 2019, he is involved in the Iberdrola’s strategy on TikTok, focusing on the content creation, the user engagement and growing its audience. ",https://www.linkedin.com/in/gfernandezm/,https://twitter.com/@gfernandez15
53,Guillermo Perez Morales,Eulen ,Director Técnico Comercial,https://www.des-madrid.com/agenda-2021-speakers/guillermo-perez-morales/,"Director en Grupo EULEN; soy Black Belt – Six Sigma por la ISO 18404; líder del Proyecto Lean Services Solutions de la Compañía. También, lidero Proyectos Tecnológicos y represento a EULEN en AMETIC, siendo el Vicepresidente de la Alianza por el Desarrollo del Talento Digital y Vocal en la EPS de Economía e Industria Digital en FUNDAE. Apasionado de la Estrategia, Gestión, Digitalización, Transformación Digital, Lean y del Talento. Premio como mejor referente Lean Externo otorgado por Lean Community. Elegido por Coolhunting e ICEMD, como uno de los 100 profesionales referentes en España en el área de Management e innovación en el año 2020. ",https://www.linkedin.com/in/guillermoperezmorales/,TW no disponible
54,Guillermo Rius Barraguer,The Valley,Professor,https://www.des-madrid.com/agenda-2021-speakers/guillermo-rius-barraguer/,"I accelerate changes in organizations and people | I connect ideas, people and technology | Advisor, teacher, lecturer | I try to be the person for my clients that I would have liked to have by my side.",https://www.linkedin.com/in/guillermorius/,https://twitter.com/@guillermorius
55,Guzman Garmendia Perez,Gobierno de Navarra,Director General de Telecomunicaciones y Digitalización - Government CIO,https://www.des-madrid.com/agenda-2021-speakers/guzman-garmendia-perez/,"CIO for Navarra Government. Director-General Telecommunications and Digitalization, with more",https://www.linkedin.com/in/guzmangarmendia/,https://twitter.com/@GuzmanGarmendia
56,Haldo Sponton,Globant,Head of Artificial Intelligence,https://www.des-madrid.com/agenda-2021-speakers/haldo-sponton/,"Technology enthusiast and math lover, Haldo is currently leading globally the Artificial Intelligence R&D team at Globant, the leading company in digital and cognitive transformation solutions. He also leads the Augmented Globant team that designs tools based on AI to transform the way we develop code, recruit talent, design and keep our organizational culture alive. Haldo is also the co-author of the book “Embracing the Power of AI: a gentle CXO guide to Artificial Intelligence”.",https://www.linkedin.com/in/haldo/,https://twitter.com/@haldosponton
57,Hamed Mansouri,HiDoctor,President,https://www.des-madrid.com/agenda-2021-speakers/hamed-mansouri/,"Entrepreneur and President of HiDoctor online healthcare application, Co-Chair of payment app with more than 2M transactions. Founder and CEO of 10+ startups, PhD Degree in Management and Entrepreneurship. More than 15 years experience leading technological organizations all over the world. Author of “Marketing strategies Based on 4p+A model”.",no disponible,no disponible
58,Heitor Bravi,Pico Interactive,Director,https://www.des-madrid.com/agenda-2021-speakers/heitor-bravi/,"Economist, holds a solid background in the financial (credit, e-money) and technology (B2B XR) industries.",https://www.linkedin.com/in/heitorbravi/,TW no disponible
59,Henrik Bergman,KAHI Digital,Senior Consultant,https://www.des-madrid.com/agenda-2021-speakers/henrik-bergman/,Recognized intrapreneur gone entrepreneurial. Specialized in enterprise transition in “corporate ready” start-ups and larger corporations.,https://www.linkedin.com/in/henrikbergman/,TW no disponible
0,Ignacio Babé,CEG ,CEO,https://www.des-madrid.com/agenda-2021-speakers/ignacio-babe/,CEO of Club Excelencia en Gestión in Spain. Experienced International Management and Strategic Consultant. Certifiied Executive Coach.,https://www.linkedin.com/in/ignacio-bab%C3%A9/,https://twitter.com/@ignaciobabe
1,Ignacio Carrasco Sayalero,PETEC,Secretario General,https://www.des-madrid.com/agenda-2021-speakers/ignacio-carrasco-sayalero/,"Secretario de PETEC, Asociacion Profesional de Peritos en Nuevas Tecnologías, Abogado ICAM, Diplomado en Economía. Consultor “senior” de la EOI, Auditor Cloud Computing y Compliance, DPO Delegado de Protección de Datos. Miembro de ASIS International. Miembro de APEP, Asociacion Profesional Española de Privacidad. Grupo de normalización de IA de AENOR. Y Socio de VALVONTA, empresa de ciberseguridad, auditoría y privacidad y de otras empresas TIC.",https://www.linkedin.com/in/ignacio-carrasco-sayalero-bb32128/?originalSubdomain=es,TW no disponible
2,Ignacio Cobisa,IDC,Research Analyst,https://www.des-madrid.com/agenda-2021-speakers/ignacio-cobisa/,,no disponible,no disponible
3,Ignacio José Martín Moraleda,Ebantic,Commercial Director,https://www.des-madrid.com/agenda-2021-speakers/ignacio-jose-martin-moraleda/,"Experienced professional in corporate, public and private companies, telecommunications broadcast and media market with a lot of fulfilled projects which have been developed process, products and services for private and public companies. Finally he works in a human team who offers to our customers excellent advice, markets knowledge, expertise for scientific research, marketing tools and commercial affairs. He helps about the project.",https://www.linkedin.com/in/ignacio-mart%C3%ADn-moraleda-baa99b10/,TW no disponible
